companyname,scrapingdateandtime,jobid,jobtitle,jobtitleurls-href,location,jobtype,skills,salary,numberofopenings,companyurl,company logo-src,posted time,yearofexperience,qualification,description,preferredqualification,summery,additionalrequirements,secondaryskills
DXC,02-02-2024 17:34,1706874720-1,Analyst I Controllership,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/job/IND---TN---CHENNAI/Analyst-I-Controllership_51502598?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,IND - TN - CHENNAI,time typeFull time,,,,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/details/India-Bangalore-Tech-Caf-Engineer-L2_51499351?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,/DXCJobs/assets/logo,Posted 23 Days Ago,,,"Job Description:SummaryDevelops, interprets, and implements financial and accounting statements and concepts, or techniques for financial planning and control. Prepares studies, reports, and analyses in areas such as budgets, financial modeling, forecasts, financial plans, governmental requirements, statistical reports, cash flow projections, business forecasts or other analyses.Essential Job FunctionsPerforms financial analyses including budgeting, trend analysis, forecasting, correcting, and financial modeling. Develops recommendations from information and results; considers and conducts additional analyses as appropriate.Collects budget, midyear forecast and other financial information; interprets, summarizes and uploads the information to financial systems to provide information about profit and loss.Analyzes budget, midyear forecast or other types of financial information and recommends corrections of any problems or inconsistencies to management.Assists in developing financial controls, procedures, systems, and forecasting techniques to evaluate contract/program status and ensure compliance with government and customer requirements.Develops and maintains financial statements using accounting and budgeting software in order to provide financial statements and reports to management and the corporate office.Develops executive reports using database structures and end user interfaces to provide information to the appropriate personnel as needed.Assists department in completion and understanding of, budgets and other financial analyses.Prepares, analyzes, and publishes monthly financial rolling forecast with detail to appropriate management and the corporate office.Maintains integrity of accounting and budgeting software systems by checking for errors and inconsistencies.Basic QualificationsBachelor's degree or equivalent combination of education and experienceBachelor's degree in business administration, finance, accounting or related field preferredThree or more years of finance or accounting experienceExperience working with generally accepted accounting principles and accounting softwareExperience working with financial analysisOther QualificationsCommunication skillsPersonal computer and business solutions software skillsPresentation skillsGood organization skills to balance and prioritize workAnalytical and problem solving skillsAbility to work independently and as part of a teamWillingness to travelWork EnvironmentOffice environmentRecruitment fraud is a scheme in which fictitious job opportunities are offered to job seekers typically through online services, such as false websites, or through unsolicited emails claiming to be from the company. These emails may request recipients to provide personal information or to make payments as part of their illegitimate recruiting process. DXC does not make offers of employment via social media networks and DXC never asks for any money or payments from applicants at any point in the recruitment process, nor ask a job seeker to purchase IT or other equipment on our behalf. More information on employment scams is available here.",,,,
DXC,02-02-2024 17:34,1706874723-2,Associate Manager Audit & Compliance,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/job/IND---KA---BANGALORE/Associate-Manager-Audit---Compliance_51506870?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,IND - KA - BANGALORE,time typeFull time,,,,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/details/India-Bangalore-Tech-Caf-Engineer-L2_51499351?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,/DXCJobs/assets/logo,Posted 23 Days Ago,,,"Job Description:Job Requirements:Bachelor’s degree in a business-related field, preferably with a concentration in Accounting or FinanceRelevant professional certification (CPA or CIA) preferredIn-depth data analytics experienceDemonstrate high level of integrity and sound independent judgement. Strong analytical and organizational skills with the ability to collect, organize, analyze, and disseminate significant amount of information with attention to detail and accuracyAccounting/auditing background with 4-7 years of experience in internal controls, consulting, advisory, and professional services. Big-4 experience required. Technology industry experience a plus.Ability to multi-task, work effectively in a team-oriented environment as well as independently.Excellent verbal and written communication skillsStrong time management and presentation skillsAdvanced computer skills. Detailed knowledge of MS Office is a must. Experience with data analytics and visualization software a plus.Open to travel, including international travelAdditional language skills a plusRecruitment fraud is a scheme in which fictitious job opportunities are offered to job seekers typically through online services, such as false websites, or through unsolicited emails claiming to be from the company. These emails may request recipients to provide personal information or to make payments as part of their illegitimate recruiting process. DXC does not make offers of employment via social media networks and DXC never asks for any money or payments from applicants at any point in the recruitment process, nor ask a job seeker to purchase IT or other equipment on our behalf. More information on employment scams is available here.",,,,
DXC,02-02-2024 17:34,1706874725-3,Analyst III infrastructure services,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/job/IND---KA---BANGALORE/Analyst-III-infrastructure-services_51505243?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,IND - KA - BANGALORE,time typeFull time,,,,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/details/India-Bangalore-Tech-Caf-Engineer-L2_51499351?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,/DXCJobs/assets/logo,Posted 16 Days Ago,,,"Job Description:Essential Job Functions:
• Provide basic technical support in infrastructure services, assisting with routine tasks.
• Participate in infrastructure projects and tasks to gain hands-on experience and knowledge.
• Support basic monitoring and routine troubleshooting of infrastructure systems.
• Work with team members to address infrastructure-related needs and day-to-day operations.
• Assist in the development and maintenance of infrastructure documentation.
• Show eagerness to learn and grow in a technical role.
• Develop foundational technical skills and knowledge.
• Follow established best practices and standards in infrastructure service delivery, under supervision.

Basic Qualifications:
• Entry level
• Typically, 0-1 years of relevant work experience
• A strong desire to gain experience in infrastructure technology analysis
• A continuous learner that stays abreast with industry knowledge and technology

Other Qualifications:
• Relevant certifications, such as CompTIA A+, AWS Certified Cloud Practitioner, or Microsoft 365 Certified: Fundamentals, are a plusRecruitment fraud is a scheme in which fictitious job opportunities are offered to job seekers typically through online services, such as false websites, or through unsolicited emails claiming to be from the company. These emails may request recipients to provide personal information or to make payments as part of their illegitimate recruiting process. DXC does not make offers of employment via social media networks and DXC never asks for any money or payments from applicants at any point in the recruitment process, nor ask a job seeker to purchase IT or other equipment on our behalf. More information on employment scams is available here.",,,,
DXC,02-02-2024 17:34,1706874728-4,Analyst I Controllership,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/job/IND---KA---BANGALORE/Analyst-I-Controllership_51502789?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,IND - KA - BANGALORE,time typeFull time,,,,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/details/India-Bangalore-Tech-Caf-Engineer-L2_51499351?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,/DXCJobs/assets/logo,Posted 15 Days Ago,,,"Job Description:Essential Job FunctionsPrepares and posts journal entries for company accounts ensuring information is accurate and up to date.Reconciles balance sheet and income statement accounts to general ledger; researches discrepancies and determines appropriate course of action.Develops spreadsheets for account analysis and journal entries in order to keep records organized and standardized.Participates in special projects such as accounting software updates in order to provide expertise.Educates internal clients on accounting principles when necessary.May conduct studies and submits recommendations for improving the organization's accounting operation to management.Assists in and/or installs, modifies, documents, and assists in coordinating implementation of accounting systems and accounting control procedures.Provides work guidance for less experienced personnel.Basic QualificationsBachelor's degree or equivalent combination of education and experienceBachelor's degree in business administration, accounting, finance, or related field preferredThree or more years of accounting or finance experienceExperience working with generally accepted accounting principles and accounting softwareOther QualificationsPersonal computer and business solutions software skillsGood interpersonal skillsGood communication skills for communicating with support personnel and managementGood analytical and problem solving skillsPlanning and organizational skills to balance and prioritize workLeadership skills to provide assistance to less experienced personnelAbility to work independently and as part of a teamWork EnvironmentOffice environmentRecruitment fraud is a scheme in which fictitious job opportunities are offered to job seekers typically through online services, such as false websites, or through unsolicited emails claiming to be from the company. These emails may request recipients to provide personal information or to make payments as part of their illegitimate recruiting process. DXC does not make offers of employment via social media networks and DXC never asks for any money or payments from applicants at any point in the recruitment process, nor ask a job seeker to purchase IT or other equipment on our behalf. More information on employment scams is available here.",,,,
DXC,02-02-2024 17:34,1706874731-5,Sr Analyst I ERP Package Applications,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/job/IND---AP---HYDERABAD/Sr-Analyst-I-ERP-Package-Applications_51503492?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,IND - AP - HYDERABAD,time typeFull time,,,,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/details/India-Bangalore-Tech-Caf-Engineer-L2_51499351?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,/DXCJobs/assets/logo,Posted 9 Days Ago,,,"Job Description:Essential Job Functions:
• Contribute to package software application development projects.
• Collaborate with the team on project tasks and objectives.
• Assist in testing, debugging, and maintenance of software.
• Follow established coding standards and best practices.
• Research and stay informed about emerging technologies.
• Provide support for software architecture and design.
• Document project progress and assist in project planning.
• Assist in mentoring junior team members.

Basic Qualifications:
• Bachelor's degree in a relevant field (i.e., Computer Science) or equivalent combination of education and experience
• Typically, 5+ years of relevant work experience in industry, with a minimum of 2 years in a similar role years of relevant work experience in software engineering
• Proficiency in 1 or more software languages and development methodologies
• Basic coding and debugging skills
• Proven ability to work on complex software projects

Other Qualifications:
• Advanced degree in a relevant field a plus
• Relevant cloud certifications (e.g., PMP, CTO, or MBA) or advanced training a plusRecruitment fraud is a scheme in which fictitious job opportunities are offered to job seekers typically through online services, such as false websites, or through unsolicited emails claiming to be from the company. These emails may request recipients to provide personal information or to make payments as part of their illegitimate recruiting process. DXC does not make offers of employment via social media networks and DXC never asks for any money or payments from applicants at any point in the recruitment process, nor ask a job seeker to purchase IT or other equipment on our behalf. More information on employment scams is available here.",,,,
DXC,02-02-2024 17:34,1706874734-6,Business Continuity Lead /Expert,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/job/IND---KA---BANGALORE/Business-Continuity-Lead--Expert_51500860?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,IND - KA - BANGALORE,time typeFull time,,,,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/details/India-Bangalore-Tech-Caf-Engineer-L2_51499351?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,/DXCJobs/assets/logo,Posted 4 Days Ago,,,"Job Description:Essential Job Functions:
• Manage or lead teams responsible for infrastructure services and oversee their daily activities.
• Support in the development and execution of infrastructure strategies and projects.
• Monitor and maintain the performance, availability, and security of infrastructure systems.
• Collaborate with other teams or customers to understand and address their infrastructure needs.
• Implement and adhere to infrastructure best practices and standards.
• Act as a point of contact for resolving infrastructure-related issues and incidents.
• Assist in creating and maintaining infrastructure documentation.
• Participate in optimizing resource allocation for infrastructure projects and initiatives.

Basic Qualifications:
• Bachelor's degree in a relevant field or equivalent combination of education and experience
• Typically, 7+ years of relevant work experience in industry, with a minimum of 3 years in a similar role
• Proven experience in infrastructure technology management
• Proficiencies in project management and technical knowledge
• A continuous learner that stays abreast with industry knowledge and technology

Other Qualifications:
• An advanced degree in a relevant field is a plus
• Relevant certifications, such as CCNP, AWS Certified Cloud Practitioner, or CompTIA Project+, are a plusRecruitment fraud is a scheme in which fictitious job opportunities are offered to job seekers typically through online services, such as false websites, or through unsolicited emails claiming to be from the company. These emails may request recipients to provide personal information or to make payments as part of their illegitimate recruiting process. DXC does not make offers of employment via social media networks and DXC never asks for any money or payments from applicants at any point in the recruitment process, nor ask a job seeker to purchase IT or other equipment on our behalf. More information on employment scams is available here.",,,,
DXC,02-02-2024 17:34,1706874737-7,Analyst II Infrastructure Services- On Site Engineer,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/job/IND---KA---BANGALORE/India-Bangalore-Tech-Caf-Engineer-L2_51499351?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,IND - KA - BANGALORE,time typeFull time,,,,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/details/India-Bangalore-Tech-Caf-Engineer-L2_51499351?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,/DXCJobs/assets/logo,Posted 2 Days Ago,,,"Job Description:Essential Job FunctionsProvides information on problems concerning system function(s) which have been escalated through a problem ticket process. Provides diagnostic information and determines alternatives.Coordinates, conducts install, move, add, and change (ICMS) activities based for complex activities including integrated equipment and systems.Provides expert technical advise and input in developing and creating new service offerings or technologies, such as, working with desktop engineering teams on the development of the standard operating environment (SOE) for the account(s) and other related activities to ensure that client needs are met in a cost effective and timely manner.Provides guidance and training to client population on system and products to eliminate recurring errors and where appropriate, provides recommendations for improvements.Maintains currency regarding technological, process and/or other advances, specifically in line of service, to ensure team performance and to achieve team objectives.Provides data for daily metric reporting. Provides systems software and hardware documentation and assesses system information where appropriate. Recommends and implements enhancements in order to ensure efficiencies.Provides technical services in support of project work; works as part of the project team on technical activities, such as enhancing or designing solutions for customers, creating new scripts and diagnostic tools to resolve problems and conducting transition or transformation activities for new accounts.Basic QualificationsBachelor's degree or equivalent combination of education and experienceBachelor's degree in computer science or related field preferredOther QualificationsStrong analytical and problem solving skillsWork EnvironmentOffice environmentMay require shift workRecruitment fraud is a scheme in which fictitious job opportunities are offered to job seekers typically through online services, such as false websites, or through unsolicited emails claiming to be from the company. These emails may request recipients to provide personal information or to make payments as part of their illegitimate recruiting process. DXC does not make offers of employment via social media networks and DXC never asks for any money or payments from applicants at any point in the recruitment process, nor ask a job seeker to purchase IT or other equipment on our behalf. More information on employment scams is available here.",,,,
DXC,02-02-2024 17:34,1706874740-8,Sr Analyst I Finance Operations,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/job/IND---KA---BANGALORE/Sr-Analyst-I-Finance-Operations_51507809?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,IND - KA - BANGALORE,time typeFull time,,,,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/details/India-Bangalore-Tech-Caf-Engineer-L2_51499351?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,/DXCJobs/assets/logo,Posted Yesterday,,,"Job Description:Essential Job Functions:
• Assist in managing business process transactions and teams, actively supporting efficiency and compliance.
• Contribute to process improvement initiatives and ensure adherence to quality standards.
• Collaborate closely with managers and senior leadership.
• Monitor and report on process performance and quality metrics.
• Analyze data to identify areas for enhancement.
• Support the development of strategic plans for process optimization.
• Participate in resource allocation and budgeting processes.
• Act as a bridge between senior leadership and analysts, facilitating communication.

Basic Qualifications:
• Bachelor's degree in a relevant field or equivalent combination of education and experience
• Typically, 6+ years of relevant work experience in industry, with a minimum of 2+ years in a similar role
• Proven experience in business process transactions
• Proficiencies in business process management and optimization
• A continuous learner that stays abreast with industry knowledge and technology

Other Qualifications:
• Advanced degree in a relevant field a plus
• Relevant certifications (e.g., Six Sigma, PMP) or significant relevant work experience a plusRecruitment fraud is a scheme in which fictitious job opportunities are offered to job seekers typically through online services, such as false websites, or through unsolicited emails claiming to be from the company. These emails may request recipients to provide personal information or to make payments as part of their illegitimate recruiting process. DXC does not make offers of employment via social media networks and DXC never asks for any money or payments from applicants at any point in the recruitment process, nor ask a job seeker to purchase IT or other equipment on our behalf. More information on employment scams is available here.",,,,
DXC,02-02-2024 17:34,1706874742-9,Graphics Designer with Marketing experience,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/job/IND---AP---HYDERABAD/Lab-Admin-HYD_51484378-1?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,IND - AP - HYDERABAD,time typeFull time,,,,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/details/India-Bangalore-Tech-Caf-Engineer-L2_51499351?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,/DXCJobs/assets/logo,Posted Yesterday,,,"Job Description:Job Description - Marketing and Communications (Graphics Designer with Marketing experience)We are looking for an enthusiastic Marketing and Communications Specialist with a blend of Graphic designer experience who will work out of the DXC's Client innovation Lab in Hyderabad.General ResponsibilitiesWork with the Innovation Lab Manager to develop and produce content and design of internal newslettersShare quarterly newsletters from the Innovation Lab India inbox/teams channel/yammer/any other relevant channelsSend out regular communications/announcements to the internal employees on initiatives happening in the Innovation Lab CommunityCreate posters, mailers, and post-session videos/reports/blogs/interviews for internal/external sessions/speakersCreate the content, structure, and framework of the local Share-Point and update it periodically with the latest informationProvide direction to the creative team to fulfill the development of on/offline contentMarketing materials including collateral, display materials like posters for standees, mailers, flyers, promotional videos for internal and external consumption, etc.Work with the global Innovation Lab communications team and manage the local communication strategy for the global initiatives driven by the Innovation Lab teamManage the social media planning and execution for all client Innovation Lab projects/initiatives in cooperation with the clientWork on PR and Marketing communication plans for the promotion of Innovation Lab activitiesWrite press releases and media statements for client approval and coordinate with the client for the release of stories with Print and Electronic media.Create and manage external and internal events for the Innovation Lab & its community.Work on outreach activities and events to enable the growth of the Innovation Lab community.Work with client on Half-yearly updates of the marketing and communications plans showing community activities and initiatives which shall be projected across all Innovation Lab communities and sites plan and manage the External Communication and Branding activities for the Innovation Lab jointly with clientMarketing Role - Requirements List- Education in marketing/graphic design/communications.- Knowledge in design tools, Adobe Illustrator, Photoshop, Lightroom, Premiere, adobe InDesign, After Effects (plus), Canva.- Knowledge in Office tools.- Knowledge in photography and editing.- Attach Portfolio (mandatoryRecruitment fraud is a scheme in which fictitious job opportunities are offered to job seekers typically through online services, such as false websites, or through unsolicited emails claiming to be from the company. These emails may request recipients to provide personal information or to make payments as part of their illegitimate recruiting process. DXC does not make offers of employment via social media networks and DXC never asks for any money or payments from applicants at any point in the recruitment process, nor ask a job seeker to purchase IT or other equipment on our behalf. More information on employment scams is available here.",,,,
DXC,02-02-2024 17:34,1706874746-10,SAP HR Functional Consultant,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/job/IND---TN---CHENNAI/SAP-HR-Functional-Consultant_51505635-1?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,IND - TN - CHENNAI,time typeFull time,,,,https://dxctechnology.wd1.myworkdayjobs.com/en-US/DXCJobs/details/India-Bangalore-Tech-Caf-Engineer-L2_51499351?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,/DXCJobs/assets/logo,Posted Today,,,"Job Description:Essential Job Functions:
• Support a team of software engineers in the development of software products and solutions, providing guidance, code reviews, and technical support.
• Collaborate with cross-functional teams to define project requirements, ensuring the successful delivery of software projects.
• Assist in the professional growth and mentorship of team members through regular feedback, coaching, and career development planning.
• Contribute to the execution of the software engineering strategy, participating in strategic discussions and technology assessments.
• Manage project tasks and assignments, helping to prioritize and plan work to meet project goals.
• Monitor project timelines, resource allocation, and budgets to ensure efficient project execution.
• Proactively identify and mitigate project risks, working to resolve issues as they arise.
• Promote a culture of innovation, collaboration, and continuous learning within the team.

Basic Qualifications:
• Bachelor's degree in a relevant field (i.e., Computer Science) or equivalent combination of education and experience
• Typically, 6+ years of relevant work experience in industry, with a minimum of 2+ years in a similar role years of experience in software engineering
• Proficiency in 1 or more software languages and development methodologies
• Strong programming and debugging skills
• Some prior experience in a leadership or mentoring capacity
• Familiarity with software development methodologies and best practices
• Good communication and teamwork skills
• Willingness to learn and grow in a leadership role
• Strong organizational and time management skills

Other Qualifications:
• Advanced degree in a related field is a plus
• Relevant certifications or training a plusRecruitment fraud is a scheme in which fictitious job opportunities are offered to job seekers typically through online services, such as false websites, or through unsolicited emails claiming to be from the company. These emails may request recipients to provide personal information or to make payments as part of their illegitimate recruiting process. DXC does not make offers of employment via social media networks and DXC never asks for any money or payments from applicants at any point in the recruitment process, nor ask a job seeker to purchase IT or other equipment on our behalf. More information on employment scams is available here.",,,,
